x	y_Blake
0.1000	1500
0.1059	1416.091314
0.1122	1336.876407
0.1189	1262.092712
0.1259	1191.492352
0.1334	1124.841314
0.1413	1061.918677
0.1496	1002.515876
0.1585	946.4360167
0.1679	893.4932153
0.1778	843.5119878
0.1884	796.3266663
0.1995	751.7808504
0.2113	709.7268884
0.2239	670.0253882
0.2371	632.5447551
0.2512	597.1607558
0.2661	563.7561064
0.2818	532.2200839
0.2985	502.4481587
0.3162	474.341649
0.3350	447.8073928
0.3548	422.7574397
0.3758	399.108759
0.3981	376.7829647
0.4217	355.7060558
0.4467	335.8081708
0.4732	317.023356
0.5012	299.2893472
0.5309	282.5473634
0.5623	266.7419115
0.5957	251.8206027
0.6310	237.7339789
0.6683	224.4353484
0.7079	211.8806317
0.7499	200.0282148
0.7943	188.8388118
0.8414	178.2753341
0.8913	168.3027681
0.9441	158.8880588
1.0000	150
1.0593	141.6091314
1.1220	133.6876407
1.1885	126.2092712
1.2589	119.1492352
1.3335	112.4841314
1.4125	106.1918677
1.4962	100.2515876
1.5849	94.64360167
1.6788	89.34932153
1.7783	84.35119878
1.8836	79.63266663
1.9953	75.17808504
2.1135	70.97268884
2.2387	67.00253882
2.3714	63.25447551
2.5119	59.71607558
2.6607	56.37561064
2.8184	53.22200839
2.9854	50.24481587
3.1623	47.4341649
3.3497	44.78073928
3.5481	42.27574397
3.7584	39.9108759
3.9811	37.67829647
4.2170	35.57060558
4.4668	33.58081708
4.7315	31.7023356
5.0119	29.92893472
5.3088	28.25473634
5.6234	26.67419115
5.9566	25.18206027
6.3096	23.77339789
6.6834	22.44353484
7.0795	21.18806317
7.4989	20.00282148
7.9433	18.88388118
8.4140	17.82753341
8.9125	16.83027681
9.4406	15.88880588
10.0000	15
10.5925	14.16091314
11.2202	13.36876407
11.8850	12.62092712
12.5893	11.91492352
13.3352	11.24841314
14.1254	10.61918677
14.9624	10.02515876
15.8489	9.464360167
16.7880	8.934932153
17.7828	8.435119878
18.8365	7.963266663
19.9526	7.517808504
21.1349	7.097268884
22.3872	6.700253882
23.7137	6.325447551
25.1189	5.971607558
26.6073	5.637561064
28.1838	5.322200839
29.8538	5.024481587
31.6228	4.74341649
33.4965	4.478073928
35.4813	4.227574397
37.5837	3.99108759
39.8107	3.767829647
42.1697	3.557060558
44.6684	3.358081708
47.3151	3.17023356
50.1187	2.992893472
53.0884	2.825473634
56.2341	2.667419115
59.5662	2.518206027
63.0957	2.377339789
66.8344	2.244353484
70.7946	2.118806317
74.9894	2.000282148
79.4328	1.888388118
84.1395	1.782753341
89.1251	1.683027681
94.4061	1.588880588
100.0000	1.5
105.9254	1.416091314
112.2018	1.336876407
118.8502	1.262092712
125.8925	1.191492352
133.3521	1.124841314
141.2538	1.061918677
149.6236	1.002515876
158.4893	0.946436017
167.8804	0.893493215
177.8279	0.843511988
188.3649	0.796326666
199.5262	0.75178085
211.3489	0.709726888
223.8721	0.670025388
237.1374	0.632544755
251.1886	0.597160756
266.0725	0.563756106
281.8383	0.532220084
298.5383	0.502448159
316.2278	0.474341649
334.9654	0.447807393
354.8134	0.42275744
375.8374	0.399108759
398.1072	0.376782965
421.6965	0.355706056
446.6836	0.335808171
473.1513	0.317023356
501.1872	0.299289347
530.8844	0.282547363
562.3413	0.266741912
595.6621	0.251820603
630.9573	0.237733979
668.3439	0.224435348
707.9458	0.211880632
749.8942	0.200028215
794.3282	0.188838812
841.3951	0.178275334
891.2509	0.168302768
944.0609	0.158888059
1000.0000	0.15
