x 	 y 
0.100 	 1501.750 
0.110 	 1368.494 
0.120 	 1247.076 
0.132 	 1136.445 
0.145 	 1035.642 
0.159 	 943.794 
0.175 	 860.105 
0.192 	 783.851 
0.210 	 714.372 
0.231 	 651.064 
0.254 	 593.381 
0.278 	 540.822 
0.305 	 492.932 
0.335 	 449.297 
0.368 	 409.538 
0.404 	 373.311 
0.443 	 340.303 
0.486 	 310.227 
0.534 	 282.823 
0.586 	 257.853 
0.643 	 235.101 
0.705 	 214.371 
0.774 	 195.482 
0.850 	 178.272 
0.933 	 162.590 
1.024 	 148.301 
1.123 	 135.282 
1.233 	 123.420 
1.353 	 112.611 
1.485 	 102.762 
1.630 	 93.789 
1.789 	 85.612 
1.963 	 78.162 
2.154 	 71.374 
2.364 	 65.189 
2.595 	 59.553 
2.848 	 54.418 
3.126 	 49.739 
3.430 	 45.476 
3.765 	 41.591 
4.132 	 38.052 
4.535 	 34.827 
4.977 	 31.888 
5.462 	 29.211 
5.995 	 26.772 
6.579 	 24.549 
7.221 	 22.523 
7.925 	 20.678 
8.697 	 18.996 
9.545 	 17.464 
10.476 	 16.068 
11.498 	 14.796 
12.619 	 13.637 
13.849 	 12.581 
15.199 	 11.619 
16.681 	 10.742 
18.307 	 9.943 
20.092 	 9.216 
22.051 	 8.552 
24.201 	 7.948 
26.561 	 7.397 
29.151 	 6.896 
31.993 	 6.439 
35.112 	 6.022 
38.535 	 5.643 
42.292 	 5.297 
46.416 	 4.982 
50.941 	 4.695 
55.908 	 4.433 
61.359 	 4.195 
67.342 	 3.977 
73.907 	 3.780 
81.113 	 3.599 
89.022 	 3.435 
97.701 	 3.285 
107.227 	 3.149 
117.681 	 3.025 
129.155 	 2.911 
141.747 	 2.808 
155.568 	 2.714 
170.735 	 2.629 
187.382 	 2.551 
205.651 	 2.479 
225.702 	 2.415 
247.708 	 2.356 
271.859 	 2.302 
298.365 	 2.253 
327.455 	 2.208 
359.381 	 2.167 
394.421 	 2.130 
432.876 	 2.097 
475.081 	 2.066 
521.401 	 2.038 
572.237 	 2.012 
628.029 	 1.989 
689.261 	 1.968 
756.463 	 1.948 
830.218 	 1.931 
911.163 	 1.915 
1000.000 	 1.900 
